QUESTION,BT LEVEL
Describe the THREE (3) causes of concrete blister. ,Comprehension
Explain the conditions where underpinning are usually considered for an existing building construction works. ,Comprehension
Identify what types of brickwork defects that require rejection from the supervisor. ,Knowledge
Discuss the best practices to reduce construction demolition and waste for sustainability. ,Comprehension
You are a project manager working on a 8 storey building conservation project located in a congested urban area with poor soil bearing capacity and underground public utilities. Propose to the building owner why an internally braced shoring system is preferable to raking shore and weighted vertical dead shores. ,Synthesis
"Propose with justification, the types of maintenance relevant to a library building. ",Evaluation
Describe the 'Qlassic Assessment' principles on how to perform the evaluation. ,Comprehension
"Draw a body-centered cubic (BCC) unit cell. Calculate the volume density and area density on the (0, 0. 1) plane of a BCC cell if the lattice constant is 2.3 Å. Give a brief explanation of your calculations. ",Application
"If an electron in a hydrogen atom jumps from the first excited state to ground state, find the wavelength of the photon emitted. ",Comprehension
Determine the resistivity of a Si sample if it is doped with 10 phosphorus atoms/cm and H. = 750 cm Vs. Find the Hall coefficient of the sample. ,Application
Sketch the 1-V curve of a zener diode and explain what a zener breakdown is. ,Application
Show that the Fermi-Dirac function is a step function at T = 0 K. ,Application
Draw the face-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,Application
Find the velocity and wavelength of the electron. ,Comprehension
Apply the energy band diagram to explain why an intrinsic semiconductor is conductive and that its conductivity increases with temperature.,Application
"Draw the energy band diagram of a pn junction. Label the depletion region and the electric field in the depletion region. For an unbiased junction, discuss the movement of majority and minority carriers and the resultant current that may arise at equillibrium. ",Comprehension
State the five assumptions of an ideal diode. ,Knowledge
Explain why the intrinsic carrier concentration of Ge is higher than Si at T = 300 K. ,Comprehension
"Explain how the ionic, metallic, covalent, and mixed states solids are formed. Give an example of each solid and compare the electrical conductivity of the four types of solid. ",Comprehension
Draw the body-centered cubic cell and determine its packing fraction. State and explain the assumptions you have made. ,Application
Explain with an energy band diagram how an electron-hole pair (EHP) is formed in a semiconductor. ,Comprehension
Draw the energy band diagram of the doped semiconductor at 300 K. ,Comprehension
Calculate the carrier densities of the doped semiconductor at 400 K. ,Application
Draw the energy band diagram of the pn junction. ,Comprehension
Find the reverse bias saturation current. ,Comprehension
State the four different bias modes of a BJT and explain how they are obtained. ,Comprehension
"Draw the band diagram of a reverse biased pn junction. With reference to the band diagram and charge carriers, explain why there is negligible current flow in the diode. ",Comprehension
Draw a faced-centered cubic (FCC) cell. Calculate the packing fraction of the FCC cell. State any assumptions you have made and explain your calculations. ,Application
An electron experiences a potential difference of 5 kV in vacuum. Find the wavelength of the particle. ,Comprehension
Draw the energy band diagram of an 11-type semiconductor and explain how an electron-hole pair (EHP) is formed. State any assumptions you have made. ,Comprehension
Draw the energy band diagram of an intrinsic Si and label the band gap energy. ,Comprehension
State two differences between a JFET and a BJT. ,Comprehension
Name a donor atom and acceptor atom for Si. ,Knowledge
Write down Schrodinger's equation in one dimension and explain the meaning of each term of the equation. ,Comprehension
Show that the wavefunction of a free particle is a plane wave. ,Application
State the four different bias modes of a BJT and explain how they are obtained. ,Comprehension
Explain why the electrical conductivity of a semiconductor is higher than an insulator by using the energy band diagram. ,Comprehension
State the conductivity of a semiconductor at 0 K and clearly explain your answer. ,Comprehension
Determine the doping levels in the respective regions.,Application
"In a BJT, the width of the base quasineutral region has to be small compared to the minority carrier diffusion length. Explain why this is important ",Comprehension
Explain the creation of an electron-hole pair in an intrinsic Si semiconductor at room temperature by using the covalent bonding picture. ,Comprehension
Evaluate if the contact is ohmic or rectifying (Schottky diode) in nature. Provide the analysis and support your answer with calculation,Evaluation
